fa_flight_id,scheduled_in_utc,actual_in_utc,arr_delay_min,departure_delay_min,cancelled,diverted,settled_at_utc,ident_iata,tail_num,op_carrier,origin,dest
EDV5068-1778045777-airline-1471p,2026-05-08T13:12:00,2026-05-08T12:56:00Z,-16.0,-5.0,0,0,2026-05-08T13:20:18.961253+00:00,9E5068,N306PQ,9E,LGA,CLT
RPA4417-1778045967-airline-1071p,2026-05-08T13:26:00,2026-05-08T12:56:00Z,-30.0,-10.0,0,0,2026-05-08T13:21:28.380277+00:00,YX4417,N412YX,YX,ORD,DSM
SKW5620-1778047262-airline-203p,2026-05-08T13:00:00,2026-05-08T12:56:00Z,-4.0,-5.0,0,0,2026-05-08T13:22:36.988905+00:00,OO5620,N149SY,OO,GSP,ORD
SKW4722-1778044117-airline-189p,2026-05-08T12:50:00,2026-05-08T12:56:00Z,6.0,-9.0,0,0,2026-05-08T13:22:36.988905+00:00,OO4722,N138SY,OO,DTW,ORD
SWA930-1778046214-airline-702p,2026-05-08T13:00:00,2026-05-08T12:56:00Z,-4.0,-6.0,0,0,2026-05-08T13:25:17.980815+00:00,WN930,N8557Q,WN,JAX,DEN
DAL1380-1778041169-fa-475p,2026-05-08T13:02:00,2026-05-08T12:55:00Z,-7.0,4.0,0,0,2026-05-08T13:14:20.196110+00:00,DL1380,N819DN,DL,ATL,PIT
DAL1488-1778040451-fa-356p,2026-05-08T13:08:00,2026-05-08T12:55:00Z,-13.0,-1.0,0,0,2026-05-08T13:15:25.749695+00:00,DL1488,N357DN,DL,RDU,ATL
SKW6270-1778042934-airline-1432p,2026-05-08T12:08:00,2026-05-08T12:55:00Z,47.0,-10.0,0,0,2026-05-08T13:18:04.916211+00:00,OO6270,N745SK,OO,TYR,DFW
AAL327-1778046028-airline-722p,2026-05-08T13:14:00,2026-05-08T12:55:00Z,-19.0,-6.0,0,0,2026-05-08T13:21:28.380277+00:00,AA327,N724UW,AA,ORD,LGA
AAL2132-1778053491-airline-852p,2026-05-08T13:15:00,2026-05-08T12:55:00Z,-20.0,-11.0,0,0,2026-05-08T13:22:36.988905+00:00,AA2132,N3014R,AA,ATL,ORD
UAL543-1778021913-fa-762p,2026-05-08T12:58:00,2026-05-08T12:55:00Z,-3.0,-7.0,0,0,2026-05-08T13:22:36.988905+00:00,UA543,N78501,UA,BUF,ORD
UAL1793-1778025792-fa-468p,2026-05-08T12:46:00,2026-05-08T12:55:00Z,9.0,-5.0,0,0,2026-05-08T13:22:36.988905+00:00,UA1793,N37278,UA,DCA,ORD
RPA4739-1778045199-airline-1571p,2026-05-08T12:37:00,2026-05-08T12:55:00Z,18.0,-5.0,0,0,2026-05-08T13:22:36.988905+00:00,YX4739,N406YX,YX,IND,ORD
SWA3734-1778043807-airline-2240p,2026-05-08T12:55:00,2026-05-08T12:55:00Z,0.0,-6.0,0,0,2026-05-08T13:25:17.980815+00:00,WN3734,N8565Z,WN,TPA,DEN
SKW5924-1778044187-airline-5316p,2026-05-08T13:05:00,2026-05-08T12:55:00Z,-10.0,-7.0,0,0,2026-05-08T13:25:17.980815+00:00,OO5924,N207SY,OO,BOI,DEN
DAL3125-1778041324-fa-978p,2026-05-08T13:05:00,2026-05-08T12:54:00Z,-11.0,-6.0,0,0,2026-05-08T13:14:20.196110+00:00,DL3125,N901DN,DL,ATL,IND
DAL3009-1778041613-fa-464p,2026-05-08T13:18:00,2026-05-08T12:54:00Z,-24.0,-6.0,0,0,2026-05-08T13:15:25.749695+00:00,DL3009,N892AT,DL,HSV,ATL
