iata,state,timezone,iem_network,iem_validated,iem_name,iem_lat,iem_lon
STS,CA,America/Los_Angeles,CA_ASOS,True,Santa Rosa,38.5037,-122.811
STT,VI,America/St_Thomas,VI_ASOS,False,,,
STX,VI,America/St_Thomas,VI_ASOS,False,,,
SUN,ID,America/Boise,ID_ASOS,True,HAILEY/FRIEDMAN MEM,43.5038,-114.2956
SUX,IA,America/Chicago,IA_ASOS,True,SIOUX CITY,42.3917,-96.3795
SWF,NY,America/New_York,NY_ASOS,True,NEWBURGH/STEWART,41.5041,-74.1048
SWO,OK,America/Chicago,OK_ASOS,True,STILLWATER MUNI,36.1612,-97.0857
SYR,NY,America/New_York,NY_ASOS,True,SYRACUSE/HANCOCK,43.1112,-76.1063
TLH,FL,America/New_York,FL_ASOS,True,TALLAHASSEE RGNL,30.3935,-84.3514
TOL,OH,America/New_York,OH_ASOS,True,Toledo,41.587,-83.8054
TPA,FL,America/New_York,FL_ASOS,True,TAMPA INTL AIRPORT,27.9619,-82.5403
TRI,TN,America/Chicago,TN_ASOS,True,BRISTOL/TRI-CITY,36.4752,-82.4074
TTN,NJ,America/New_York,NJ_ASOS,True,TRENTON/MERCER CO.,40.2768,-74.8159
TUL,OK,America/Chicago,OK_ASOS,True,TULSA INTL ARPT(AW),36.1984,-95.8881
TUS,AZ,America/Phoenix,AZ_ASOS,True,TUCSON INTL AIRPORT,32.1203,-110.938
TVC,MI,America/New_York,MI_ASOS,True,TRAVERSE CIT,44.7416,-85.5824
TWF,ID,America/Boise,ID_ASOS,True,TWIN FALLS/JOSLIN,42.4818,-114.4878
TXK,AR,America/Chicago,AR_ASOS,True,TEXARKANA RGNL/WEBB,33.4537,-93.991
TYR,TX,America/Chicago,TX_ASOS,True,TYLER/POUNDS FLD,32.3541,-95.4024
TYS,TN,America/Chicago,TN_ASOS,True,KNOXVILLE MUNICIPAL,35.8181,-83.9858
USA,NC,America/New_York,NC_ASOS,False,,,
VCT,TX,America/Chicago,TX_ASOS,True,VICTORIA REGIONAL,28.8614,-96.9303
VPS,FL,America/New_York,FL_ASOS,True,EGLIN AFB/VALPARAIS,30.4832,-86.5254
WRG,AK,America/Anchorage,AK_ASOS,False,,,
XNA,AR,America/Chicago,AR_ASOS,True,NORTHWEST ARKANSAS REGIONAL APT,36.282,-94.307
XWA,ND,America/Chicago,ND_ASOS,True,Williston Basin,48.2597,-103.7505
YAK,AK,America/Anchorage,AK_ASOS,False,,,
YUM,AZ,America/Phoenix,AZ_ASOS,True,YUMA INTL AIRPORT,32.6566,-114.606
